gene,C1,C2,C3,C4,C5,T1,T2,T3,T4,T5
A1BG-AS1,1.055322487,0.61514639,1.289371365,0.831243926,0.972152107,0.829944872,1.013210358,0.059865309,1.10457567,0.181434553
A1CF,0.483689473,3.031792922,4.496269375,66.53148502,34.79494416,50.95139825,49.44466549,34.72187911,1.424321259,68.74555232
A2M,356.9188593,463.5128049,324.2934287,333.8723201,365.9747619,255.9838663,205.8438164,61.39187419,285.9688274,161.0413097
A2M-AS1,1.6269555,2.109073337,2.446499513,0.415621963,0.810126756,1.371213267,1.134795601,0.329259198,0.494152273,0.090717277
A4GALT,9.981591853,10.54536669,7.835410602,2.333877178,8.830381638,5.124007473,3.890727776,3.083063404,27.49812063,1.778058624
AAAS,13.7631641,14.89533045,11.80270711,10.5823746,9.721521069,8.66029432,10.09157517,8.500873851,9.91211325,12.97257057
AACS,6.200019609,5.843890706,8.463565882,20.23759251,18.26835834,14.9390077,16.04925208,17.30107425,18.77778639,20.71982601
AADAT,4.880866501,4.130268619,0.925702518,2.62161546,1.660759849,3.175441251,2.593818518,1.915689882,0.610423397,1.397046062
AAED1,3.737600473,3.119670978,3.008533185,1.918255215,2.551899281,1.984650782,1.418494502,2.215016426,3.866014845,3.011813588
AAGAB,9.190099988,11.11657405,11.20761263,32.45048405,15.14937033,16.16588273,16.41400781,14.30780881,13.3130436,34.59956935
AAK1,51.44697122,60.2404072,57.92252901,54.70224453,63.87849469,68.34415601,70.6815546,41.84585086,49.76404071,22.8788972
AAMDC,3.385826311,3.91057348,1.024884931,2.237964417,2.673418294,3.464117728,2.269591203,1.915689882,1.046440108,1.161181142
AAMP,18.81991768,19.5528674,18.71241519,31.77909472,33.05317163,30.67187572,32.5037883,40.46894876,40.02633415,51.41855246
AAR2,13.67522056,16.52107448,9.85211966,9.879014355,11.22025557,8.876801678,8.105682867,20.44400296,10.34812996,11.10379467
AARS,47.31362482,22.80435546,33.09386503,42.36146932,25.55949914,24.50141601,24.0333497,43.61187747,62.00157643,27.03374847
AARS2,8.354636352,9.974159325,8.76111312,9.815072514,7.534178829,9.815000229,9.321535297,8.441008543,8.138978621,13.82531298
AARSD1,4.333417961,5.223911022,4.44469452,4.563209446,2.673013231,3.400969749,3.917071246,3.530257261,4.235466339,4.62204525
AASDH,8.354636352,7.777207931,6.248491999,6.330242208,5.67088729,6.928235456,6.646659951,5.02868594,6.162369528,8.745145478
AASDHPPT,10.15747893,10.58930571,13.68717295,9.143683189,6.359495033,6.819981777,7.903040796,16.40309461,15.20244935,22.42531081
AASS,35.48521861,17.70742823,10.1827277,6.202358527,24.10127098,9.598492871,6.606131537,3.80144711,5.900759501,2.521940294
AATF,15.47806314,16.91652573,21.9193132,21.3246038,18.67342172,18.51137911,18.44042852,35.85931998,26.19007049,22.86075374
AATK,5.188668893,8.655988489,3.273019618,1.502633251,3.929114765,2.20115814,2.026420717,0.897979632,13.28397582,9.325736049
