circRNA,C1,C2,C3,C4,C5,T1,T2,T3,T4,T5
hsa_circ_0013273,0.07393298,0.153748949,0.157043167,0.040538883,0.035463397,0,0,0.104613553,0.225555136,0
hsa_circ_0013274,0.07393298,0.087856542,0.130869306,0.202694415,0.035463397,0.033412611,0,0,0,0.074960172
hsa_circ_0110110,0,0.087856542,0.078521584,0.040538883,0.10639019,0.033412611,0,0.209227106,0.045111027,0.099946896
hsa_circ_0110111,0.044359788,0.087856542,0.130869306,0.040538883,0.070926793,0.066825221,0.367365674,0.104613553,0,0
hsa_circ_0110112,0.118292768,0.021964136,0.130869306,0.040538883,0.177316983,0,0,0.052306777,0,0.074960172
hsa_circ_0013275,0.088719576,0.219641355,0.130869306,0.081077766,0.10639019,0.066825221,0.209923242,0,0.090222054,0
hsa_circ_0013276,0.547104052,0.395354439,0.392607918,0.283772181,0.10639019,0.100237832,0.157442432,0.366147436,0.225555136,0.274853963
hsa_circ_0013277,0.325305112,0.373390304,0.444955641,0.243233298,0.531950948,0.133650443,0.157442432,0.209227106,0.270666163,0.424774307
hsa_circ_0013278,0.177439152,0.109820678,0.078521584,0.040538883,0.035463397,0.133650443,0.209923242,0,0.135333081,0.049973448
hsa_circ_0013279,0.399238092,0.329462033,0.523477224,0,0.319170569,0.334126107,0.262404053,0,0.225555136,0.174907068
hsa_circ_0013280,0.251372132,0.109820678,0.366434057,0.445927713,0.283707172,0.167063054,0.314884863,0.261533883,0.451110271,0.049973448
hsa_circ_0013281,0.029573192,0.109820678,0.026173861,0.040538883,0,0.133650443,0.052480811,0.104613553,0.090222054,0.099946896
hsa_circ_0013282,0.207012344,0.131784813,0.183217029,0.324311064,1.276682276,2.104994476,2.571559719,0.679988096,0.270666163,0.474747755
hsa_circ_0110113,0.236585536,0.241605491,0.261738612,0.121616649,0.212780379,0.367538718,0.104961621,0.052306777,0.270666163,0.12493362
hsa_circ_0013283,0.029573192,0.021964136,0.20939089,0.040538883,0.141853586,0.167063054,0.262404053,0,0.090222054,0
hsa_circ_0013284,0.07393298,0.021964136,0.078521584,0.121616649,0.035463397,0.133650443,0.314884863,0.052306777,0.180444109,0.049973448
hsa_circ_0013285,0.029573192,0.087856542,0.052347722,0.081077766,0.141853586,0.033412611,0.052480811,0.104613553,0.270666163,0.249867239
hsa_circ_0110114,0.07393298,0,0.052347722,0,0,0.066825221,0.104961621,0.15692033,0.090222054,0.199893791
hsa_circ_0110115,0.266158728,0.43928271,0.130869306,0.040538883,0.035463397,0.033412611,0,0,0.090222054,0
hsa_circ_0013286,0.103506172,0.109820678,0.052347722,0.081077766,0.10639019,0.200475664,0.104961621,0.052306777,0.090222054,0.049973448
hsa_circ_0013287,0.266158728,0.241605491,0.837563559,0.729699895,1.099365293,0.90214049,1.049616212,0.784601649,0.811998488,0.549707927
hsa_circ_0013288,0.118292768,0.153748949,0.078521584,0.121616649,0.10639019,0,0,0.15692033,0.180444109,0.149920344
hsa_circ_0110116,0.07393298,0.153748949,0.366434057,0.243233298,0.425560759,0.167063054,0.472327295,0.366147436,0.225555136,0.12493362
hsa_circ_0009679,0.133079364,0.087856542,0.104695445,0.243233298,0.212780379,0.167063054,0.262404053,0.15692033,0.270666163,0.224880515
hsa_circ_0110117,0.118292768,0.175713084,0.157043167,0.202694415,0.10639019,0.066825221,0.209923242,0.104613553,0.090222054,0.049973448
hsa_circ_0110118,0.118292768,0.065892407,0.104695445,0,0.070926793,0.033412611,0.104961621,0.15692033,0.090222054,0.049973448
hsa_circ_0110119,0.088719576,0.219641355,0.052347722,0.040538883,0.10639019,0.033412611,0.052480811,0,0,0
hsa_circ_0013289,0.162652556,0.109820678,0.157043167,0.081077766,0.177316983,0.033412611,0.314884863,0.052306777,0,0.074960172
hsa_circ_0110120,0.177439152,0.131784813,0.104695445,0.040538883,0.212780379,0.033412611,0.209923242,0.104613553,0.090222054,0.099946896
hsa_circ_0013290,0.044359788,0.021964136,0,0.202694415,0,0.033412611,0.104961621,0.470760989,0.135333081,0.074960172
hsa_circ_0110121,0.014786596,0.065892407,0,0.243233298,0,0,0,0.523067766,0.090222054,0.024986724
hsa_circ_0013291,0.059146384,0.19767722,0.052347722,0.081077766,0.141853586,0.033412611,0.052480811,0.104613553,0.135333081,0.199893791
hsa_circ_0110122,0.059146384,0.021964136,0,0.121616649,0.035463397,0.033412611,0.104961621,0.209227106,0,0
hsa_circ_0110123,0.118292768,0.087856542,0.104695445,0.040538883,0.10639019,0.066825221,0.052480811,0,0.045111027,0.024986724
hsa_circ_0110124,0.044359788,0.021964136,0.314086335,0.121616649,0.035463397,0.066825221,0.157442432,0,0,0.049973448
hsa_circ_0110125,0.414024688,0.571067523,0.575824947,0.445927713,0.496487552,0.668252215,1.154577833,0.31384066,0.225555136,0.424774307
hsa_circ_0013292,0.280945324,0.461246846,0.680520392,1.621555322,0.673804534,1.069203543,1.626905128,1.046135532,0.676665407,1.874004295
hsa_circ_0013293,0.133079364,0.153748949,0.287912473,0.243233298,0.070926793,0.167063054,0.472327295,0.104613553,0.270666163,0.074960172
hsa_circ_0110126,0.088719576,0.087856542,0,0,0.035463397,0.167063054,0,0.104613553,0.045111027,0.049973448
hsa_circ_0110127,0.14786596,0.109820678,0.287912473,0.364849947,0.177316983,0.133650443,0.262404053,0.15692033,0.225555136,0.349814135
hsa_circ_0013294,0.325305112,0.131784813,0.157043167,0.121616649,0.319170569,0.066825221,0.839692969,0.209227106,0.270666163,0.099946896
hsa_circ_0110128,0.014786596,0,0.104695445,0.040538883,0,0,0.157442432,0.15692033,0.045111027,0.074960172
hsa_circ_0110129,0.325305112,0.241605491,0.287912473,0.162155532,0.035463397,0.167063054,0.262404053,0.052306777,0.045111027,0.074960172
